,imdb_id,tmdb_rating,tmdb_votes,popularity
4589,tt1673702,6.5,139,5.768
4590,tt1674771,6.2,683,15.653
4591,tt1674784,5.5,689,15.824
4592,tt1674785,6.8,35,5.743
4593,tt1675192,7.1,919,11.234
4594,tt1675434,8.2,11160,21.001
4595,tt1677720,7.6,8618,34.062
4596,tt1678051,4.8,78,6.66
4597,tt1679335,6.6,2114,20.48
4598,tt1680114,6.2,162,6.349
4599,tt1680679,7.1,24,2.665
4600,tt1681666,0.0,0,0.65
4601,tt1682186,6.1,27,1.363
4602,tt1683921,6.0,73,5.561
4603,tt1684233,5.8,404,9.813
4604,tt1684548,3.6,18,4.83
4605,tt1684628,6.9,48,3.191
4606,tt1686018,4.1,27,4.91
4607,tt1686042,6.4,33,5.322
4608,tt1686470,0.0,0,0.6
4609,tt1686784,6.1,83,7.176
4610,tt1686821,6.0,1127,8.997
4611,tt1687247,7.2,131,6.889
4612,tt1687277,5.0,15,3.666
4613,tt1687281,6.3,74,5.803
4614,tt1687901,6.4,891,10.561
4615,tt1690389,6.8,34,2.591
4616,tt1690953,6.9,8040,27.552
4617,tt1691323,6.1,62,4.454
4618,tt1691916,7.0,2461,14.518
4619,tt1691917,5.8,988,13.528
4620,tt1691920,5.7,41,4.314
4621,tt1692486,7.2,1721,10.23
4622,tt1692928,7.7,29,2.46
4623,tt1694015,6.9,7,3.753
4624,tt1694020,5.5,440,7.525
4625,tt1695793,4.9,4,0.995
4626,tt1695994,4.7,43,4.507
4627,tt1698641,6.2,910,8.063
4628,tt1699147,5.6,30,2.968
4629,tt1699185,6.2,13,1.485
4630,tt1699513,4.3,16,2.289
4631,tt1699518,7.0,144,5.053
4632,tt1699755,5.5,41,4.323
4633,tt1700841,5.6,4760,14.789
4634,tt1700844,5.8,143,6.589
4635,tt1700845,6.1,121,7.326
4636,tt1702014,8.1,646,7.714
4637,tt1702425,5.3,170,6.2
4638,tt1702439,7.2,1613,10.071
4639,tt1702443,5.1,261,7.777
4640,tt1703957,6.5,447,9.892
4641,tt1703958,5.7,44,2.947
4642,tt1705111,6.0,1,1.553
4643,tt1706317,3.7,16,1.988
4644,tt1706593,6.7,3390,11.002
4645,tt1706620,6.8,5621,24.472
4646,tt1706687,9.3,3,2.724
4647,tt1707386,7.4,3682,17.411
4648,tt1708532,5.2,44,2.778
4649,tt1708537,6.0,13,3.866
4650,tt1709143,5.3,457,8.165
4651,tt1710396,6.5,85,9.248
4652,tt1710417,5.0,88,6.669
4653,tt1710469,7.7,3,1.185
4654,tt1711425,5.7,1110,9.651
4655,tt1711484,5.6,59,3.422
4656,tt1711525,5.6,1358,10.903
4657,tt1712159,4.4,131,5.916
4658,tt1712170,5.2,466,10.495
4659,tt1712261,5.8,1358,12.73
4660,tt1714203,4.2,584,9.733
4661,tt1714206,6.6,2017,12.666
4662,tt1714209,6.1,90,6.221
4663,tt1714866,5.8,26,4.778
4664,tt1714886,6.3,20,1.675
4665,tt1714915,7.4,1241,10.318
4666,tt1714917,7.0,52,5.775
4667,tt1716772,6.2,576,10.283
4668,tt1716777,6.8,406,10.102
4669,tt1718835,5.3,140,5.707
4670,tt1718898,5.8,8,2.3
4671,tt1719071,6.0,64,5.375
4672,tt1720172,4.4,17,2.926
4673,tt1720182,6.9,63,4.792
4674,tt1720254,5.2,31,2.818
4675,tt1720621,6.4,20,2.905
4676,tt1723811,7.0,1845,15.639
4677,tt1724962,7.1,101,7.118
4678,tt1724970,4.9,543,4.26
4679,tt1726592,6.5,1246,15.129
4680,tt1727388,7.1,1140,10.477
4681,tt1727491,4.0,3,2.949
4682,tt1727770,5.7,791,10.789
4683,tt1727776,6.2,1022,10.2
4684,tt1727824,8.0,10198,42.176
4685,tt1728196,7.3,77,6.943
4686,tt1728239,4.5,20,2.779
4687,tt1728986,5.9,37,2.796
4688,tt1729226,7.1,38,3.606
4689,tt1729637,5.4,72,4.767
4690,tt1730687,5.1,55,3.802
4691,tt1730768,7.4,911,10.283
4692,tt1731141,6.6,3914,12.501
4693,tt1731701,5.7,659,9.213
4694,tt1731764,7.0,1,0.878
4695,tt1733525,4.7,8,2.391
4696,tt1734110,6.9,42,2.566
4697,tt1734493,6.2,585,9.542
4698,tt1734586,3.8,5,2.503
4699,tt1735279,0.0,0,0.6
4700,tt1735485,5.5,184,7.96
4701,tt1735495,6.0,2,0.949
4702,tt1735898,5.9,5801,17.835
4703,tt1736633,7.6,151,6.237
4704,tt1736636,6.2,43,3.772
4705,tt1737122,7.8,4,2.398
4706,tt1740707,6.7,901,8.549
4707,tt1740710,6.3,34,3.334
4708,tt1740799,5.0,1,2.946
4709,tt1741243,5.9,133,6.862
4710,tt1741273,6.4,812,17.366
4711,tt1742044,6.8,423,12.277
4712,tt1742334,5.5,852,13.144
4713,tt1742650,5.3,253,8.522
4714,tt1743720,6.5,136,7.746
4715,tt1746153,5.5,4,3.339
4716,tt1748043,6.6,25,4.735
4717,tt1748062,7.3,3,2.705
4718,tt1748122,7.7,3509,16.463
4719,tt1748158,0.0,0,0.6
4720,tt1748179,6.1,705,10.973
4721,tt1748199,5.5,2,0.954
4722,tt1748227,6.1,541,9.968
4723,tt1753383,7.4,1801,13.195
4724,tt1753549,7.4,24,4.844
4725,tt1753813,5.9,198,6.555
4726,tt1753846,5.5,3,2.728
4727,tt1754078,6.5,20,4.045
4728,tt1754367,6.5,63,3.351
4729,tt1754546,6.8,8,1.776
4730,tt1754633,6.5,9,2.561
4731,tt1754811,3.1,56,5.876
4732,tt1754853,5.6,5,3.364
4733,tt1756750,6.9,284,6.088
4734,tt1758575,5.9,37,4.115
4735,tt1758595,5.6,333,6.474
4736,tt1758610,6.9,42,4.232
4737,tt1758692,6.4,709,8.442
4738,tt1758795,5.6,643,9.848
4739,tt1758810,5.1,1414,14.532
4740,tt1758830,5.7,1425,9.386
4741,tt1761005,5.3,16,3.998
4742,tt1763303,7.0,1565,10.4
4743,tt1764183,6.2,506,8.309
4744,tt1764234,6.0,1255,9.074
4745,tt1764651,6.2,4629,16.818
4746,tt1765913,0.0,0,0.6
4747,tt1766085,5.4,18,2.422
4748,tt1769363,6.5,80,7.341
4749,tt1770734,6.0,142,6.26
4750,tt1772230,5.6,72,5.864
4751,tt1772240,5.0,561,11.678
4752,tt1772288,6.7,300,8.282
4753,tt1772341,7.3,8663,23.511
4754,tt1772371,3.9,8,2.533
4755,tt1772408,5.7,16,3.094
4756,tt1772424,7.6,98,5.296
4757,tt1772872,5.1,21,2.214
4758,tt1773109,5.8,19,1.084
4759,tt1776196,6.6,120,5.997
4760,tt1777595,6.4,27,4.417
4761,tt1777610,6.7,12,3.511
4762,tt1778304,5.9,1364,10.83
4763,tt1778924,6.3,24,3.146
4764,tt1780798,5.4,790,8.445
4765,tt1780967,6.4,17,45.806
4766,tt1781769,6.7,1484,13.071
4767,tt1781784,7.1,17,4.077
4768,tt1781827,6.2,190,10.249
4769,tt1781922,6.8,1455,10.301
4770,tt1783232,6.2,96,5.358
4771,tt1783422,6.4,32,3.699
4772,tt1785612,7.3,46,5.273
4773,tt1785635,4.8,225,9.176
4774,tt1786751,6.5,76,7.979
4775,tt1787067,7.6,8,2.849
4776,tt1787660,7.4,93,7.689
4777,tt1787725,6.6,19,3.617
4778,tt1787759,6.9,85,6.612
4779,tt1787777,6.9,37,4.882
4780,tt1787791,6.4,34,3.497
4781,tt1787816,9.0,2,2.675
4782,tt1787837,7.7,28,6.238
4783,tt1787988,6.8,103,5.948
4784,tt1788391,6.1,384,8.219
4785,tt1790669,4.0,3,0.752
4786,tt1790809,6.6,7752,24.955
4787,tt1790864,7.1,11680,41.876
4788,tt1790867,6.7,25,4.758
4789,tt1790885,6.9,2846,11.451
4790,tt1790886,5.8,1112,10.456
4791,tt1791500,4.2,10,2.648
4792,tt1791528,6.6,1586,17.052
4793,tt1792647,6.8,90,9.361
4794,tt1797487,6.4,12,4.671
4795,tt1798188,7.6,726,10.284
4796,tt1798243,7.4,172,7.915
4797,tt1798291,5.9,10,4.014
4798,tt1798603,5.3,473,10.226
4799,tt1798684,7.4,3798,18.215
4800,tt1798709,7.9,9181,22.89
4801,tt1800241,6.8,4997,15.627
4802,tt1800246,6.1,1934,9.678
4803,tt1800266,7.3,12,4.538
4804,tt1800741,6.9,1407,12.383
4805,tt1801113,8.5,2,0.7
4806,tt1801552,5.2,338,12.528
4807,tt1802197,6.9,145,6.244
4808,tt1806777,7.5,2,2.385
4809,tt1806913,5.7,47,4.517
4810,tt1807944,5.6,40,4.255
4811,tt1809398,7.5,2552,15.184
4812,tt1810602,5.5,17,2.85
4813,tt1810683,7.0,325,8.362
4814,tt1810697,5.2,97,7.067
4815,tt1813327,6.0,29,2.385
4816,tt1814621,5.5,422,10.166
4817,tt1814836,6.9,87,5.884
4818,tt1815799,6.5,37,3.11
4819,tt1815852,6.6,69,4.677
4820,tt1815862,5.1,4622,12.614
4821,tt1816518,7.7,292,10.772
4822,tt1817081,5.6,194,7.742
4823,tt1817276,3.8,22,4.473
4824,tt1817287,7.3,49,4.034
4825,tt1817676,5.6,78,6.297
4826,tt1817771,5.8,272,9.72
4827,tt1819513,7.0,37,5.307
4828,tt1820488,6.6,60,5.361
4829,tt1821427,7.0,39,7.077
4830,tt1821549,7.5,1099,10.141
4831,tt1821593,7.3,191,5.886
4832,tt1821658,5.7,604,9.474
4833,tt1821694,6.5,2623,15.736
