,Title,Year,Worldwide,Domestic
0,Mission: Impossible II,2000,546388105,215409889
1,Gladiator,2000,460583960,187705427
2,Cast Away,2000,429632142,233632142
3,What Women Want,2000,374111707,182811707
4,Dinosaur,2000,349822765,137748063
5,How the Grinch Stole Christmas,2000,345141403,260044825
6,Meet the Parents,2000,330444045,166244045
7,The Perfect Storm,2000,328718434,182618434
8,X-Men,2000,296339528,157299718
9,What Lies Beneath,2000,291420351,155464351
10,Scary Movie,2000,278019771,157019771
11,Charlie's Angels,2000,264105545,125305545
12,Erin Brockovich,2000,256271286,125595205
13,Unbreakable,2000,248118121,95011339
14,Gone in 60 Seconds,2000,237202299,101648571
15,Chicken Run,2000,224834564,106834564
16,Vertical Limit,2000,215663859,69243859
17,The Patriot,2000,215294342,113330342
18,"Crouching Tiger, Hidden Dragon",2000,213525736,128078872
19,Miss Congeniality,2000,212742720,106807667
20,Traffic,2000,207515725,124115725
21,Hollow Man,2000,190213455,73209340
22,102 Dalmatians,2000,183611771,66957026
23,Big Momma's House,2000,173959438,117559438
24,The Emperor's New Groove,2000,169327687,89302687
25,Nutty Professor II: The Klumps,2000,166339890,123309890
26,Scream 3,2000,161834276,89143175
27,Chocolat,2000,152699946,71509363
28,"Me, Myself & Irene",2000,149270999,90570999
29,The Beach,2000,144056873,39785027
30,Remember the Titans,2000,136706683,115654751
31,Pokémon the Movie 2000,2000,133949270,43758684
32,Space Cowboys,2000,128884132,90464773
33,U-571,2000,127666415,77122415
34,The Family Man,2000,124745083,75793305
35,Road Trip,2000,119754278,68540777
36,Coyote Ugly,2000,113916474,60786269
37,Final Destination,2000,112880294,53331147
38,The Exorcist 2000 Director's Cut,2000,112053066,39671011
39,Mission to Mars,2000,110983407,60883407
40,The Kid,2000,110317580,69691949
41,Billy Elliot,2000,109280263,21995263
42,Shaft,2000,107196498,70334258
43,The Whole Nine Yards,2000,106371651,57262492
44,The Cell,2000,104155843,61334059
45,Rugrats in Paris: The Movie,2000,103291131,76507756
46,Shanghai Noon,2000,99274467,56937502
47,The Tigger Movie,2000,96159800,45554533
48,The 6th Day,2000,96085477,34604280
49,Romeo Must Die,2000,91036760,55973336
50,Fantasia 2000,2000,90874570,60655420
51,Autumn in New York,2000,90726668,37761915
52,Bring It On,2000,90449929,68379000
53,Bedazzled,2000,90383208,37886980
54,Snatch,2000,83557872,30328156
55,Men of Honor,2000,82343495,48818921
56,Finding Forrester,2000,80049764,51804714
57,The Road to El Dorado,2000,76432727,50863742
58,"Dude, Where's My Car?",2000,73180723,46729800
59,"O Brother, Where Art Thou?",2000,71868327,45512588
60,Rules of Engagement,2000,71732303,61335230
61,Frequency,2000,68106245,45010278
62,Thirteen Days,2000,66579890,34592089
63,Proof of Life,2000,62761005,32598931
64,Snow Day,2000,62464731,60020107
65,28 Days,2000,62198945,37170488
66,Taxi 2,2000,60726164,626164
67,Keeping the Faith,2000,59945183,37047880
68,Next Friday,2000,59827328,57328603
69,The Flintstones in Viva Rock Vegas,2000,59468275,35268275
70,The Ninth Gate,2000,58401898,18661336
71,Little Nicky,2000,58292295,39464775
72,Pay It Forward,2000,55707411,33519628
73,Bounce,2000,53425292,36805288
74,Pitch Black,2000,53187659,39240659
75,Hanging Up,2000,51880044,36050230
76,The Skulls,2000,50802120,35046120
77,The Replacements,2000,50054511,44737059
78,Book of Shadows: Blair Witch 2,2000,47737094,26437094
79,Almost Famous,2000,47383689,32534850
80,The Watcher,2000,47267829,28946615
81,High Fidelity,2000,47126295,27287137
82,Dracula 2000,2000,47053625,33022767
83,The Gift,2000,44567606,12008642
84,Where the Heart Is,2000,40863718,33772838
85,Bless the Child,2000,40443010,29381494
86,The Art of War,2000,40400425,30208599
87,Dancer in the Dark,2000,40031879,4184036
88,The Legend of Bagger Vance,2000,39459427,30919168
89,Urban Legends: Final Cut,2000,38574362,21468807
90,The Original Kings of Comedy,2000,38182790,38182790
91,Titan A.E.,2000,36754634,22753426
92,Return to Me,2000,36609995,32722798
93,My Dog Skip,2000,35547761,34134641
94,The Adventures of Rocky & Bullwinkle,2000,35134820,26005820
95,American Psycho,2000,34266564,15070285
96,Dungeons & Dragons,2000,33978694,15391970
97,Red Planet,2000,33463969,17480890
98,Wonder Boys,2000,33426588,19393557
99,Reindeer Games,2000,32168970,23368995
100,Lost Souls,2000,31355910,16815253
101,Small Time Crooks,2000,29934477,17266359
102,Battlefield Earth,2000,29725663,21471685
103,Nurse Betty,2000,29360400,25170054
104,Boiler Room,2000,28780255,16970581
105,The Little Vampire,2000,27965865,13572400
106,Love & Basketball,2000,27728118,27459615
107,Cirque du Soleil: Journey of Man,2000,27538359,15627434
108,Center Stage,2000,26385941,17200925
109,Saving Grace,2000,26330482,12178602
110,Boys and Girls,2000,25850615,21799652
111,Down to You,2000,24419914,20069008
112,The Next Best Thing,2000,24362772,14990582
113,Dr. T & the Women,2000,22844291,13113041
114,The Contender,2000,22361811,17872723
115,Michael Jordan to the Max,2000,21268532,18650521
116,Best in Show,2000,20789556,18715392
117,Thomas and the Magic Railroad,2000,19748009,15933506
118,Get Carter,2000,19412993,14967182
119,Loser,2000,18404706,15618626
120,All the Pretty Horses,2000,18133495,15540353
121,Quills,2000,17989227,7065332
122,CyberWorld,2000,16653900,11253900
123,Digimon: The Movie,2000,16643191,9631153
124,The Dish,2000,16575074,2552992
125,Italian for Beginners,2000,16349568,4544753
126,Drowning Mona,2000,15906764,15506764
127,Highlander: Endgame,2000,15843608,12811858
128,Bait,2000,15471969,15325127
129,Supernova,2000,14828081,14230455
130,Malena,2000,14493284,3448233
131,I Dreamed of Africa,2000,14400327,6651522
132,What Planet Are You From?,2000,14145677,6291602
133,The Ladies Man,2000,13743212,13616610
134,Solarmax,2000,13400161,13400161
135,The Crew,2000,13105853,13023075
136,The Way of the Gun,2000,13069740,6055661
137,Godzilla 2000,2000,12924063,10037390
138,In the Mood for Love,2000,12854953,2738980
139,Gossip,2000,12591270,5108820
140,Ready to Rumble,2000,12452362,12394327
141,The Legend of Drunken Master,2000,11555430,11555430
142,You Can Count on Me,2000,11242521,9416804
143,Shadow of the Vampire,2000,11155214,8293784
144,Lucky Numbers,2000,10890222,10042516
145,Here on Earth,2000,10873148,10522168
146,Pollock,2000,10558970,8598593
147,Anatomie,2000,10501958,9660
148,The Virgin Suicides,2000,10409377,4906229
149,Woman on Top,2000,10194274,5020111
150,Whatever It Takes,2000,9902115,8745680
151,3 Strikes,2000,9832166,9832166
152,Ghost Dog: The Way of the Samurai,2000,9380473,3308029
153,State and Main,2000,9206279,6944471
154,Before Night Falls,2000,8527517,4242892
155,Bread and Tulips,2000,8478434,5318679
156,Butterfly,2000,7733894,2092682
157,Requiem for a Dream,2000,7390108,3635482
158,Where the Money Is,2000,7243669,5661798
159,Screwed,2000,7201701,7027345
160,The Widow of Saint-Pierre,2000,7193889,3193889
161,Croupier,2000,7075068,6201143
162,Duets,2000,6620242,4739023
163,East/West,2000,6031521,2321029
164,Black & White,2000,5541431,5277299
165,The In Crowd,2000,5280035,5280035
166,The House of Mirth,2000,5164404,3043284
167,Whipped,2000,4775009,4159986
168,Held Up,2000,4705631,4705631
169,The Tao of Steve,2000,4406030,4342203
170,Mohabbatein,2000,4279351,1070000
171,East Is East,2000,4177818,4177818
172,Bossa Nova,2000,4069261,1823297
173,Up at the Villa,2000,3740113,2933161
174,The Big Kahuna,2000,3728888,3165544
175,Price of Glory,2000,3548556,3440228
176,Gun Shy,2000,3221280,1638202
177,Beautiful,2000,3169930,3157348
178,Isn't She Great,2000,3003296,2962465
179,The Color of Paradise,2000,2724595,1817216
180,God's Army,2000,2637726,2637726
181,But I'm a Cheerleader,2000,2595216,2205627
182,Bamboozled,2000,2463650,2274979
183,Shower,2000,2150929,1157764
184,Left Luggage,2000,2111280,1069540
185,Blood Simple 2000 Re-release,2000,2068701,1701855
186,Hamlet,2000,2046433,1577287
187,The Broken Hearts Club: A Romantic Comedy,2000,2019121,1746585
188,Cecil B. DeMented,2000,1961544,1284646
189,The Life and Times of Hank Greenberg,2000,1712385,1712385
190,The Girl on the Bridge,2000,1708839,1708839
191,Rear Window 2000 Re-release,2000,1699210,1574607
192,Girlfight,2000,1666028,1565852
193,A Hard Day's Night,2000,1664617,965351
194,What's Cooking?,2000,1649655,1045899
195,Timecode,2000,1431406,1057750
196,Catfish in Black Bean Sauce,2000,1319592,1319592
197,Jesus' Son,2000,1302067,1302067
198,Under Suspicion,2000,1291020,260562
199,MVP: Most Valuable Primate,2000,1248746,1248746
200,Turn It Up,2000,1247949,1247949
201,Margaret Cho: I'm the One That I Want,2000,1210967,1210967
202,Yi Yi,2000,1196218,1136776
203,Backstage,2000,1191835,1191835
204,Chuck & Buck,2000,1182065,1055671
205,Groove,2000,1162001,1115313
206,Trois,2000,1161843,1161843
207,The Cup,2000,1079108,1079108
208,Urbania,2000,1032075,1032075
209,The Eyes of Tammy Faye,2000,1029591,1029591
210,The Taste of Others,2000,1021938,891369
211,Two Family House,2000,1015122,1015122
212,Simpatico,2000,929606,929606
213,Aimee & Jaguar,2000,927107,927107
214,The Yards,2000,924036,889352
215,Place Vendôme,2000,895788,895788
216,La otra conquista,2000,886410,886410
217,The Claim,2000,885836,669258
218,Himalaya,2000,857100,132007
219,Chunhyang,2000,798977,798977
220,Panic,2000,779137,779137
221,New Waterford Girl,2000,774469,774469
222,The Girl Next Door,2000,771792,771792
223,Passion of Mind,2000,769272,769272
224,Kadosh,2000,736812,736812
225,Dekalog,2000,655720,655720
226,Goya in Bordeaux,2000,635361,635361
227,Better Than Sex,2000,620388,19521
228,The Filth and the Fury,2000,612192,612192
229,Fiza,2000,596591,596591
230,Not One Less,2000,592586,592586
231,Refugee,2000,590000,590000
232,Phir Bhi Dil Hai Hindustani,2000,588606,588606
233,A Time for Drunken Horses,2000,587654,587654
234,The Opportunists,2000,584054,584054
235,Love & Sex,2000,543896,543896
236,Mifune,2000,512434,512434
237,Alice and Martin,2000,500896,500896
238,The Five Senses,2000,497091,497091
239,The Last September,2000,478053,478053
240,Joe Gould's Secret,2000,468684,468684
241,Venus Beauty,2000,465080,465080
242,Rififi 2000 Re-release,2000,463593,460226
243,Baise-moi,2000,444243,420224
244,Josh,2000,426318,426318
245,8 ½ Women,2000,424123,424123
246,Wonderland,2000,414254,414254
247,Har Dil Jo Pyar Karega...,2000,406235,406235
248,Raju Chacha,2000,402226,194698
249,Gang Land,2000,402000,402000
250,An Affair of Love,2000,401299,359050
251,Hamara Dil Aapke Paas Hai,2000,392076,392076
252,Bittersweet Motel,2000,391653,391653
253,Into the Arms of Strangers,2000,382807,382807
254,Hochelaga,2000,376714,376714
255,The Nightmare Before Christmas 2000 Re-release,2000,376586,376586
256,Me Myself I,2000,369975,369975
257,Tera Jadoo Chal Gayaa,2000,365318,365318
258,Ran 2000 Re-release,2000,337587,337587
259,Dark Days,2000,333843,309648
260,Winter Sleepers,2000,323041,323041
261,Call,2000,314701,314701
262,Grass,2000,313039,313039
263,Love's Labour's Lost,2000,299792,299792
264,Cotton Mary,2000,299432,299432
265,Trixie,2000,295683,295683
266,Luminarias,2000,292309,292309
267,American Pimp,2000,287724,287724
268,George Washington,2000,283846,247406
269,Smiling Fish & Goat on Fire,2000,278492,278492
270,Solas,2000,277596,277596
271,Hey Ram,2000,274675,274675
272,Deep in the Woods,2000,270890,56119
273,Waking the Dead,2000,270745,270745
274,Psycho Beach Party,2000,268117,268117
275,Beautiful People,2000,264292,264292
276,The Wind Will Carry Us,2000,259510,259510
277,Maelstrom,2000,254380,254380
278,Marcel Proust's Time Regained,2000,247728,247728
279,This Is Spinal Tap 2000 Re-release,2000,244557,244557
280,Santitos,2000,243000,243000
281,La bûche,2000,238754,238754
282,The Ballad of Ramblin' Jack,2000,225682,225682
283,Mela,2000,220524,220524
284,Ratcatcher,2000,217244,217244
285,Boys Life 3,2000,208538,208538
286,The Tic Code,2000,205003,205003
287,Bulandi,2000,203548,203548
288,Kikujiro,2000,200920,200920
289,Chal Mere Bhai,2000,199227,199227
290,Calle 54,2000,187308,187308
291,The Big Tease,2000,187152,187152
292,Vatel,2000,184301,51080
293,Cleopatra's Second Husband,2000,175058,175058
294,The Closer You Get,2000,174011,164927
295,Mercy Streets,2000,173599,173599
296,Uninvited Guest,2000,170832,170832
297,Knockout,2000,169503,169503
298,Grizzly Falls,2000,168874,168874
299,Solomon & Gaenor,2000,165485,165485
300,One Day in September,2000,156818,156818
301,The Terrorist,2000,153629,153629
302,Deterrence,2000,145071,145071
303,X,2000,143355,143355
304,Tigerland,2000,139692,139692
305,Running Free,2000,117608,117608
306,Spring Forward,2000,117471,117471
307,Sound and Fury,2000,114882,114882
308,Taboo,2000,114425,114425
309,Kippur,2000,114283,114283
310,The Million Dollar Hotel,2000,105983,59989
311,Human Traffic,2000,104257,104257
312,Khauff,2000,100975,100975
313,Paragraph 175,2000,96630,96630
314,To Fall in Love,2000,87000,87000
315,Live Nude Girls Unite!,2000,84706,84706
316,Better Living Through Circuitry,2000,82378,82378
317,The Big Blue 2000 Director's Cut,2000,80882,80882
318,Blue Moon,2000,76544,76544
319,Steal This Movie,2000,76424,76424
320,Hum To Mohabbat Karega,2000,75446,75446
321,Restaurant,2000,75232,75232
322,An Everlasting Piece,2000,75228,75228
323,Set Me Free,2000,74052,74052
324,Loving Jezebel,2000,72190,72190
325,Boricua's Bond,2000,71046,71046
326,Titanic Town,2000,65793,65793
327,Mad About Mambo,2000,65283,65283
328,All About Eve 2000 Re-release,2000,63463,63463
329,Judy Berlin,2000,61236,61236
330,Once in the Life,2000,54780,54780
331,Orphans,2000,54754,54754
332,Jungle,2000,54125,54125
333,Long Night's Journey Into Day,2000,50715,50715
334,The Fantasticks,2000,49666,49666
335,Waydowntown,2000,48333,48333
336,Dhadkan,2000,45380,45380
337,Karobaar: The Business of Love,2000,45200,45200
338,Such a Long Journey,2000,44364,44364
339,Animal Factory,2000,43805,43805
340,Hadh Kar Di Aapne,2000,42914,42914
341,Shikari,2000,40712,40712
342,Committed,2000,40361,40361
343,Shadow Hours,2000,38181,38181
344,Benjamin Smoke,2000,37111,37111
345,Kurukshetra,2000,36890,36890
346,Boesman and Lena,2000,32625,32625
347,The Weekend,2000,32050,32050
348,Bootmen,2000,31288,31288
349,The Boondock Saints,2000,30471,30471
350,The Times of Harvey Milk,2000,30187,13801
351,Praise,2000,29874,29874
352,Sinbad: Beyond the Veil of Mists,2000,29245,29245
353,Southpaw,2000,28365,28365
354,Khiladi 420,2000,26731,26731
355,Immortality,2000,25648,25648
356,A Room for Romeo Brass,2000,19478,19478
357,Restless,2000,18154,18154
358,Circus,2000,14693,14693
359,Soft Fruit,2000,13654,13654
360,Looking for an Echo,2000,13465,13465
361,The Specials,2000,13276,13276
362,Buddy Boy,2000,12597,12597
363,Stardom,2000,10886,10886
364,All the Rage,2000,9730,9730
365,Claire Dolan,2000,9480,9480
366,Prince of Central Park,2000,7838,7838
367,Gendernauts: A Journey Through Shifting Identities,2000,7358,7358
368,A Piece of Eden,2000,7296,7296
369,All I Wanna Do 2000 Re-release,2000,5838,5838
370,Coming Soon,2000,5453,5453
371,Brown's Requiem,2000,4287,4287
372,Stella Does Tricks,2000,4224,4224
373,"Blood, Friends and Money",2000,3930,3930
374,The Boys in the Band 2000 Re-release,2000,2695,2695
375,Better Living,2000,2147,2147
376,Pups,2000,1590,1590
377,Harry Potter and the Sorcerer's Stone,2001,974755371,317575550
378,The Lord of the Rings: The Fellowship of the Ring,2001,868385360,313364114
379,"Monsters, Inc.",2001,528773250,255873250
380,Shrek,2001,484409218,267665011
381,Ocean's Eleven,2001,450717150,183417150
382,Pearl Harbor,2001,449220945,198542554
383,The Mummy Returns,2001,433013274,202019785
384,Jurassic Park III,2001,368780809,181171875
385,Planet of the Apes,2001,362211740,180011740
386,Hannibal,2001,351692268,165092268
387,Rush Hour 2,2001,347325802,226164286
388,A Beautiful Mind,2001,313542341,170742341
389,American Pie 2,2001,287553595,145103595
390,Bridget Jones's Diary,2001,281929795,71543427
391,Spirited Away,2001,274925095,10055859
392,Lara Croft: Tomb Raider,2001,274703340,131168070
393,A.I. Artificial Intelligence,2001,235926552,78616689
394,The Others,2001,209947037,96522687
395,The Fast and the Furious,2001,207283925,144533925
396,Vanilla Sky,2001,203388341,100618344
397,Cats & Dogs,2001,200687492,93385515
398,Atlantis: The Lost Empire,2001,186053725,84056472
399,Moulin Rouge!,2001,179213434,57386607
400,Dr. Dolittle 2,2001,176104344,112952899
401,Amélie,2001,173921954,33225499
402,Black Hawk Down,2001,172989651,108638745
403,The Princess Diaries,2001,165335153,108248956
404,Spy Kids,2001,147934180,112719001
405,The Mexican,2001,147845033,66845033
406,Swordfish,2001,147080413,69772969
407,Spy Game,2001,143049560,62362560
408,Legally Blonde,2001,141774679,96520674
409,Scary Movie 2,2001,141220678,71308997
410,Shallow Hal,2001,141069860,70839203
411,America's Sweethearts,2001,138307673,93607673
412,Save the Last Dance,2001,131706809,91057006
413,A Knight's Tale,2001,117487473,56569702
414,The Score,2001,113579918,71107711
415,Along Came a Spider,2001,105178561,74078174
416,Training Day,2001,104876233,76631907
417,Jimmy Neutron: Boy Genius,2001,102992536,80936232
418,Don't Say a Word,2001,100020092,55001642
419,Evolution,2001,98376292,38345494
420,I Am Sam,2001,97818139,40311852
421,Enemy at the Gates,2001,96976270,51401758
422,The Wedding Planner,2001,94728529,60400856
423,Behind Enemy Lines,2001,91753202,58856790
424,Gosford Park,2001,87754044,41308615
425,Ali,2001,87713825,58203105
426,Rat Race,2001,85498534,56618055
427,Final Fantasy: The Spirits Within,2001,85131830,32131830
428,The Animal,2001,84772742,57743062
429,Blow,2001,83282296,52990775
430,Exit Wounds,2001,79958599,51758599
431,Serendipity,2001,77516304,50294317
432,Kate & Leopold,2001,76019048,47121859
433,From Hell,2001,74558115,31602566
434,The One,2001,72689126,43905746
435,The Royal Tenenbaums,2001,71441250,52364010
436,Down to Earth,2001,71186502,64186502
437,Brotherhood of the Wolf,2001,70752904,11260096
438,Thir13en Ghosts,2001,68467960,41867960
439,Pokémon 3: The Movie,2001,68411275,17052128
440,Bandits,2001,67631903,41575141
441,Not Another Teen Movie,2001,66468332,38252284
442,Sweet November,2001,65754228,25288103
443,K-PAX,2001,65001485,50338485
444,Kiss of the Dragon,2001,64437847,36845124
445,Manitou's Shoe,2001,64300000,
446,Captain Corelli's Mandolin,2001,62112895,25543895
447,Zoolander,2001,60780981,45172250
448,The Crimson Rivers,2001,60094966,594966
449,Jeepers Creepers,2001,59217789,37904175
450,Heartbreakers,2001,57756408,40336607
451,15 Minutes,2001,56359980,24403552
452,Driven,2001,54744738,32720065
453,Domestic Disturbance,2001,54249294,45246095
454,The Closet,2001,50104745,6678894
455,Monster's Ball,2001,44909486,31273922
456,Recess: School's Out,2001,44460850,36706141
457,Hardball,2001,44102389,40222729
458,In the Bedroom,2001,43368779,35930604
459,See Spot Run,2001,43057552,33357476
460,Shaolin Soccer,2001,42776760,489600
461,Black Knight,2001,39976235,33426971
462,Memento,2001,39723096,25544867
463,Crocodile Dundee in Los Angeles,2001,39438674,25635682
464,Haunted Castle,2001,39093166,13651656
465,Someone Like You,2001,38689940,27343067
466,What's the Worst That Could Happen?,2001,38464131,32269834
467,The Majestic,2001,37317558,27807266
468,Valentine,2001,36684136,20384136
469,Joy Ride,2001,36642838,21974919
470,Riding in Cars with Boys,2001,35743308,30165536
471,Original Sin,2001,35402320,16534221
472,Jay and Silent Bob Strike Back,2001,33788161,30085147
473,Y Tu Mamá También,2001,33616692,13839658
474,The Musketeer,2001,32073640,27073640
475,Double Take,2001,31603059,29831583
476,How High,2001,31283740,31178740
477,Beauty and the Beast 2000 IMAX Release,2001,31033346,25487190
478,Joe Dirt,2001,30987695,27087695
479,Hearts in Atlantis,2001,30919415,24185781
480,Monsoon Wedding,2001,30787356,13885966
481,Angel Eyes,2001,29715606,24174218
482,The Pledge,2001,29419291,19733089
483,Baby Boy,2001,29381649,28734552
484,Heist,2001,28510652,23510841
485,The Tailor of Panama,2001,28008462,13729742
486,The Brothers,2001,27958191,27457409
487,The Last Castle,2001,27642707,18244060
488,Saving Silverman,2001,26086706,19402030
489,Corky Romano,2001,25272752,23980304
490,The Shipping News,2001,24690441,11434216
491,Joe Somebody,2001,24516772,22771646
492,Nowhere in Africa,2001,24322180,6180200
493,Life as a House,2001,23903791,15667270
494,The Glass House,2001,23619609,18150259
495,Tomcats,2001,23430766,13558739
496,Kingdom Come,2001,23396049,23249649
497,Two Can Play That Game,2001,22391450,22235901
498,Winged Migration,2001,21493351,924651
499,Amores Perros,2001,20908467,5408467
500,Mulholland Drive,2001,20117339,7220243
501,Himalaya 2001 Re-release,2001,19960881,2487878
502,Crazy/Beautiful,2001,19937988,16937988
503,Get Over It,2001,19900366,11576464
504,Summer Catch,2001,19772447,19753553
505,Shackleton's Antarctic Adventure,2001,19613216,15553324
506,Rock Star,2001,19334145,17008282
507,O,2001,19260537,16025437
508,The Man Who Wasn't There,2001,18916623,7504257
509,The Curse of the Jade Scorpion,2001,18914307,7517191
510,3000 Miles to Graceland,2001,18720175,15749959
511,Max Keeble's Big Move,2001,18634654,17294293
512,Antitrust,2001,18195610,11328094
513,Jason X,2001,16951798,13121555
514,Sugar & Spice,2001,16908947,13305101
515,Just Visiting,2001,16176732,4781539
516,Iris,2001,16153953,5594617
517,Lantana,2001,15747450,4623189
518,Enigma 2001 Re-release,2001,15705007,4301582
519,With a Friend Like Harry...,2001,15472186,3830441
520,Brother,2001,15250594,450594
521,Josie and the Pussycats,2001,14866015,14271015
522,Out Cold,2001,14782676,13906394
523,Iron Monkey,2001,14694904,14694904
524,Together,2001,14572229,1034829
525,Freddy Got Fingered,2001,14333252,14254993
526,Osmosis Jones,2001,14026418,13596911
527,Ghosts of Mars,2001,14010832,8709640
528,American Outlaws,2001,13678913,13342790
529,One Night at McCool's,2001,13473370,6290673
530,Head Over Heels,2001,13127022,10424470
531,Formula 51,2001,12881605,5204007
532,The Girl from Paris,2001,12812396,183266
533,Apocalypse Now Redux 2001 Re-release,2001,12543269,4626290
534,Say It Isn't So,2001,12320393,5520393
535,The Son's Room,2001,11767402,1016340
536,Kabhi Khushi Kabhie Gham...,2001,11329690,2902000
537,Town & Country,2001,10372291,6719973
538,Wasabi,2001,10366360,97220
539,The Wash,2001,10229331,10097538
540,Sexy Beast,2001,10045677,6946056
541,The Deep End,2001,10031529,8823109
542,Mad Love,2001,9306362,280046
543,The Sun Behind the Moon,2001,8914751,1418314
544,Ghost World,2001,8764007,6217849
545,The Forsaken,2001,8704851,7288451
546,Son of the Bride,2001,8597323,624757
547,Bones,2001,8378853,7316658
548,Sex and Lucía,2001,7640680,1594779
549,Monkeybone,2001,7622365,5411999
550,Mean Machine,2001,7310206,92770
551,China: The Panda Adventure,2001,6784985,3921642
552,The Road Home,2001,6780490,1280490
553,The Piano Teacher,2001,6749315,1012069
554,Under the Sand,2001,6531687,1452698
555,The Devil's Backbone,2001,6459020,755249
556,Megiddo: The Omega Code 2,2001,6047691,6047691
557,The Golden Bowl,2001,5753678,3050532
558,A Fish Tale,2001,5595327,563911
559,Made,2001,5480653,5313300
560,Read My Lips,2001,5393526,1471911
561,Charlotte Gray,2001,5323109,741394
562,Glitter,2001,5271666,4274407
563,My Wife Is an Actress,2001,5169438,1121233
564,Bubble Boy,2001,5007898,5007898
565,The Anniversary Party,2001,4931888,4047329
566,No Man's Land,2001,4858869,1012153
567,The Other Side of Heaven,2001,4720371,4720371
568,Tortilla Soup,2001,4574762,4467615
569,On the Line,2001,4403019,4365455
570,Soul Survivors,2001,4299141,3111545
571,Left Behind: The Movie,2001,4224065,4224065
572,Lan Yu,2001,3847964,116325
573,Hedwig and the Angry Inch,2001,3644200,3067312
574,Les Boys III,2001,3557100,3557100
575,Sidewalks of New York,2001,3520373,2402652
576,2001: A Space Odyssey 2001 Re-release,2001,3434270,239621
577,Pootie Tang,2001,3313583,3313583
578,Waking Life,2001,3176880,2901447
579,Songcatcher,2001,3171273,3059834
580,Innocence,2001,3026796,2202382
581,Donnie Darko,2001,2962988,517375
582,Intimacy,2001,2672527,405094
583,Lucky Break,2001,2559317,54606
584,Novocaine,2001,2534372,2036682
585,The Endurance,2001,2453083,2453083
586,Dark Blue World,2001,2381183,258771
587,High Heels and Low Lifes,2001,2340411,228194
588,Gabriela,2001,2335352,2335352
589,Escanaba in da Moonlight,2001,2276602,2276602
590,Va Savoir (Who Knows?),2001,1989779,907323
591,Greenfingers,2001,1961054,1443067
592,God Is Great and I'm Not,2001,1952817,73181
593,Liam,2001,1945689,1016021
594,Monty Python and the Holy Grail 2001 Re-release,2001,1935066,1827696
595,Late Marriage,2001,1868298,1656445
596,The Luzhin Defence,2001,1864747,1053070
597,Startup.com,2001,1830008,1283356
598,NSync: Bigger Than Live,2001,1808679,1808679
599,How I Killed My Father,2001,1802142,145396
600,Carman: The Champion,2001,1765751,1765751
601,The Debut,2001,1745778,1745778
602,Elling,2001,1727470,314729
603,L.I.E.,2001,1667192,1138836
604,Session 9,2001,1612259,378176
605,Lagaan: Once Upon a Time in India,2001,1546734,835767
606,Divided We Fall 2001 Re-release,2001,1544317,1332586
607,The Center of the World,2001,1460687,1101344
608,The Bank,2001,1360012,88414
609,Ashoka the Great,2001,1340718,731277
610,Storytelling,2001,1318945,921445
611,Yamakasi,2001,1297401,184441
612,The Business of Strangers,2001,1287598,1030920
613,The Believer,2001,1274112,416925
614,Nuit de noces,2001,1238180,1238180
615,The Affair of the Necklace,2001,1198113,471210
616,Time Out,2001,1189692,448542
617,The Emperor's New Clothes,2001,1165545,661903
618,The Lady and the Duke,2001,1128137,331051
619,Tosca,2001,1125058,69613
620,Sordid Lives,2001,1111273,1111273
621,American Desi,2001,1104408,907835
622,Yaadein...,2001,1093819,1000229
623,The Man Who Cried,2001,1090432,747092
624,When Brendan Met Trudy,2001,1069648,133376
625,All Over the Guy,2001,1051948,1022324
626,Extremedays,2001,1047553,1047553
627,"The Bread, My Sweet",2001,1023156,1023156
628,The Princess and the Warrior,2001,1004858,872091
629,All Access: Front Row. Backstage. Live!,2001,992683,992683
630,An American Rhapsody,2001,970676,850255
631,Faithless,2001,918033,739055
632,A Song for Martin,2001,900626,27983
633,Lajja,2001,871706,376000
634,Brigham City,2001,852206,852206
635,Blow Dry,2001,830286,637769
636,Behind the Sun,2001,805755,19861
637,About Adam,2001,802951,159668
638,Trembling Before G-d,2001,788896,788896
639,Fat Girl,2001,765705,725854
640,Texas Rangers,2001,763740,623374
641,Bread and Roses,2001,706876,533479
642,Bully,2001,704808,480811
643,Happy Accidents,2001,688523,688523
644,The Caveman's Valentine,2001,687194,687194
645,Alias Betty,2001,667087,208400
646,Focus,2001,645418,645418
647,Dinner Rush,2001,634566,634566
648,The Trumpet of the Swan,2001,628387,102202
649,Our Lady of the Assassins,2001,624525,525330
650,The Grey Zone,2001,621592,517872
651,The Fluffer,2001,599523,563373
652,My First Mister,2001,595005,568762
653,Forgive Me Father,2001,582787,582787
654,Me You Them,2001,560943,323923
655,The Circle 2001 Re-release,2001,519354,440554
656,Big Eden,2001,512451,512451
657,Karmina 2,2001,508969,508969
658,His Secret Life,2001,500930,215449
659,The Invisible Circus,2001,494630,77578
660,Tape,2001,490475,490475
661,In Praise of Love,2001,485003,252074
662,Warm Water Under a Red Bridge,2001,453754,71094
663,Porn Star: The Legend of Ron Jeremy,2001,421516,421516
664,Tuvalu,2001,411678,411678
665,Lost and Delirious,2001,396897,307233
666,Pauline and Paulette,2001,395175,139789
667,Millennium Mambo,2001,393351,14904
668,Born Romantic,2001,376090,15545
669,Keep the River on Your Right: A Modern Cannibal Tale,2001,373366,373366
670,Nico and Dani,2001,372850,370562
671,Me Without You,2001,369226,304909
