,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,STRZUSTAND,lon,lat,address,City,District,Street,HouseNumber,PostalCode
3985,205255,11,0,4,4,2018,9,13,5,3,3,6,0,1,1,0,0,0,0,0,13.200027957454644,52.49550361059403,"{'City': 'Berlin', 'District': 'Grunewald', 'Street': 'Havelchaussee', 'HouseNumber': '', 'PostalCode': '14193'}",Berlin,Grunewald,Havelchaussee,,14193
3986,205256,11,0,2,2,2018,9,9,5,3,5,3,0,1,0,0,0,0,0,1,13.391622980284422,52.5009388755892,"{'City': 'Berlin', 'District': 'Kreuzberg', 'Street': 'Franz-Klühs-Straße', 'HouseNumber': '', 'PostalCode': '10969'}",Berlin,Kreuzberg,Franz-Klühs-Straße,,10969
3987,205257,11,0,4,4,2018,9,17,3,3,5,2,0,1,1,0,0,0,0,0,13.294851898149235,52.539588428282066,"{'City': 'Berlin', 'District': 'Charlottenburg-Nord', 'Street': 'Kurt-Schumacher-Damm', 'HouseNumber': '', 'PostalCode': '13627'}",Berlin,Charlottenburg-Nord,Kurt-Schumacher-Damm,,13627
3988,205263,11,0,1,1,2018,9,9,5,3,5,3,0,1,0,0,0,0,0,1,13.410554209252142,52.52801311092982,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Linienstraße', 'HouseNumber': '32', 'PostalCode': '10178'}",Berlin,Mitte,Linienstraße,32,10178
3989,205265,11,0,1,1,2018,9,8,5,3,3,6,0,1,1,0,0,0,0,1,13.380506727258217,52.53261963626024,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Chausseestraße', 'HouseNumber': '100', 'PostalCode': '10115'}",Berlin,Mitte,Chausseestraße,100,10115
3990,205267,11,0,3,3,2018,9,18,3,3,5,3,0,1,0,0,0,0,1,0,13.45273785715912,52.54860383050354,"{'City': 'Berlin', 'District': 'Weißensee', 'Street': 'Mahlerstraße', 'HouseNumber': '2', 'PostalCode': '13088'}",Berlin,Weißensee,Mahlerstraße,2,13088
3991,205271,11,0,1,1,2018,9,18,3,3,6,4,0,1,0,1,0,0,0,0,13.378262164862269,52.507763196501536,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Stresemannstraße', 'HouseNumber': '', 'PostalCode': '10117'}",Berlin,Mitte,Stresemannstraße,,10117
3992,205273,11,0,8,8,2018,9,17,5,3,5,2,0,1,0,0,0,0,1,0,13.444914933272871,52.46802997015853,"{'City': 'Berlin', 'District': 'Neukölln', 'Street': 'Lahnstraße', 'HouseNumber': '80', 'PostalCode': '12055'}",Berlin,Neukölln,Lahnstraße,80,12055
3993,205278,11,0,10,10,2018,9,16,3,3,1,5,0,1,1,0,0,0,0,0,13.557015936581635,52.540596894453394,"{'City': 'Berlin', 'District': 'Marzahn', 'Street': 'Blenheimstraße', 'HouseNumber': '', 'PostalCode': '12685'}",Berlin,Marzahn,Blenheimstraße,,12685
3994,205282,11,0,1,1,2018,9,7,5,3,5,3,0,1,1,0,0,0,0,0,13.402655557073166,52.538545425588154,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Rheinsberger Straße', 'HouseNumber': '46', 'PostalCode': '10435'}",Berlin,Mitte,Rheinsberger Straße,46,10435
3995,205291,11,0,7,7,2018,9,16,5,3,5,3,0,1,1,0,0,0,0,0,13.385323572142875,52.4685887224783,"{'City': 'Berlin', 'District': 'Tempelhof', 'Street': 'Ringbahnstraße', 'HouseNumber': '', 'PostalCode': '12099'}",Berlin,Tempelhof,Ringbahnstraße,,12099
3996,205294,11,0,4,4,2018,9,16,5,3,5,2,0,1,1,0,0,0,0,0,13.290082953680642,52.518949837829304,"{'City': 'Berlin', 'District': 'Charlottenburg', 'Street': 'Klausenerplatz', 'HouseNumber': '23', 'PostalCode': '14059'}",Berlin,Charlottenburg,Klausenerplatz,23,14059
3997,205296,11,0,1,1,2018,9,9,6,3,5,2,0,1,1,0,0,0,0,0,13.409785777374552,52.524015045682575,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Memhardstraße', 'HouseNumber': '', 'PostalCode': '10178'}",Berlin,Mitte,Memhardstraße,,10178
3998,205297,11,0,4,4,2018,9,17,2,3,0,2,0,1,1,0,0,0,0,0,13.328036866276012,52.47991105321743,"{'City': 'Berlin', 'District': 'Wilmersdorf', 'Street': 'Bundesplatz', 'HouseNumber': '2', 'PostalCode': '10715'}",Berlin,Wilmersdorf,Bundesplatz,2,10715
3999,205300,11,0,9,9,2018,9,22,2,3,0,3,2,1,1,0,0,0,0,0,13.484575230520143,52.4635170368272,"{'City': 'Berlin', 'District': 'Baumschulenweg', 'Street': 'Baumschulenstraße', 'HouseNumber': '37', 'PostalCode': '12437'}",Berlin,Baumschulenweg,Baumschulenstraße,37,12437
4000,205301,11,0,4,4,2018,9,15,5,3,5,2,0,1,1,0,0,0,0,0,13.313771558499326,52.506365633176586,"{'City': 'Berlin', 'District': 'Charlottenburg', 'Street': 'Leibnizstraße', 'HouseNumber': '', 'PostalCode': '10625'}",Berlin,Charlottenburg,Leibnizstraße,,10625
4001,205302,11,0,7,7,2018,9,17,5,3,2,4,0,1,0,1,0,0,0,0,13.328264719053081,52.47728124222132,"{'City': 'Berlin', 'District': 'Friedenau', 'Street': 'Südwestkorso', 'HouseNumber': '', 'PostalCode': '12161'}",Berlin,Friedenau,Südwestkorso,,12161
4002,205306,11,0,3,3,2018,9,7,5,3,0,2,1,1,1,0,0,0,0,0,13.375454669862638,52.597182109286265,"{'City': 'Berlin', 'District': 'Rosenthal', 'Street': 'Friedrich-Engels-Straße', 'HouseNumber': '', 'PostalCode': '13158'}",Berlin,Rosenthal,Friedrich-Engels-Straße,,13158
4003,205308,11,0,1,1,2018,9,15,2,3,2,6,0,1,1,0,0,0,0,0,13.38623735796214,52.51448361570997,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Glinkastraße', 'HouseNumber': '35', 'PostalCode': '10117'}",Berlin,Mitte,Glinkastraße,35,10117
4004,205310,11,0,5,5,2018,9,18,4,3,5,3,0,1,1,0,0,0,0,0,13.157148846092733,52.534411780578324,"{'City': 'Berlin', 'District': 'Staaken', 'Street': 'Magistratsweg', 'HouseNumber': '127', 'PostalCode': '13591'}",Berlin,Staaken,Magistratsweg,127,13591
4005,205311,11,0,1,1,2018,9,14,2,3,5,2,0,1,1,0,0,0,0,0,13.395629830537693,52.53863760569586,"{'City': 'Berlin', 'District': 'Gesundbrunnen', 'Street': 'Brunnenstraße', 'HouseNumber': '134', 'PostalCode': '13355'}",Berlin,Gesundbrunnen,Brunnenstraße,134,13355
4006,205313,11,0,8,8,2018,9,13,2,3,5,2,0,1,1,0,0,0,0,0,13.494678582329257,52.42130546505075,"{'City': 'Berlin', 'District': 'Rudow', 'Street': 'Prierosser Straße', 'HouseNumber': '28C', 'PostalCode': '12357'}",Berlin,Rudow,Prierosser Straße,28C,12357
4007,205315,11,0,3,3,2018,9,7,4,3,1,5,0,1,1,0,0,0,0,0,13.43271056170859,52.55272595501486,"{'City': 'Berlin', 'District': 'Weißensee', 'Street': 'Gustav-Adolf-Straße', 'HouseNumber': '163', 'PostalCode': '13086'}",Berlin,Weißensee,Gustav-Adolf-Straße,163,13086
4008,205316,11,0,10,10,2018,9,8,4,3,5,3,0,1,1,0,0,0,0,0,13.527798378549315,52.51966389825012,"{'City': 'Berlin', 'District': 'Biesdorf', 'Street': 'Beilsteiner Straße', 'HouseNumber': '60', 'PostalCode': '12681'}",Berlin,Biesdorf,Beilsteiner Straße,60,12681
4009,205317,11,0,8,8,2018,9,13,2,3,5,3,0,1,1,0,0,0,0,0,13.425826594359538,52.41368539178073,"{'City': 'Berlin', 'District': 'Buckow', 'Street': 'Warmensteinacher Straße', 'HouseNumber': '59A', 'PostalCode': '12349'}",Berlin,Buckow,Warmensteinacher Straße,59A,12349
4010,205319,11,0,2,2,2018,9,19,4,3,6,4,1,1,0,1,0,0,0,0,13.450122254069672,52.5222473451373,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': '', 'HouseNumber': '', 'PostalCode': '10249'}",Berlin,Friedrichshain,,,10249
4011,205320,11,0,10,10,2018,9,16,5,3,5,3,0,1,1,0,0,0,0,0,13.59859772591768,52.49436241126621,"{'City': 'Berlin', 'District': 'Mahlsdorf', 'Street': '', 'HouseNumber': '', 'PostalCode': '12623'}",Berlin,Mahlsdorf,,,12623
4012,205322,11,0,7,7,2018,9,18,4,3,5,2,0,1,1,0,0,0,0,0,13.346247547028305,52.41503030793533,"{'City': 'Berlin', 'District': 'Lichterfelde', 'Street': 'Hildburghauser Straße', 'HouseNumber': '63', 'PostalCode': '12249'}",Berlin,Lichterfelde,Hildburghauser Straße,63,12249
4013,205323,11,0,4,4,2018,9,19,2,3,5,3,2,1,1,0,0,0,0,0,13.286624739980086,52.51888461394436,"{'City': 'Berlin', 'District': 'Charlottenburg', 'Street': 'Sophie-Charlotten-Straße', 'HouseNumber': '', 'PostalCode': '14059'}",Berlin,Charlottenburg,Sophie-Charlotten-Straße,,14059
4014,205325,11,0,10,10,2018,9,18,4,3,1,7,0,1,1,0,0,0,0,0,13.616906930989153,52.5362954112988,"{'City': 'Berlin', 'District': 'Hellersdorf', 'Street': 'Albert-Kuntz-Straße', 'HouseNumber': '18', 'PostalCode': '12627'}",Berlin,Hellersdorf,Albert-Kuntz-Straße,18,12627
4015,205326,11,0,6,6,2018,9,12,5,3,5,2,0,1,1,0,0,0,0,0,13.220283715323491,52.43168953944167,"{'City': 'Berlin', 'District': 'Nikolassee', 'Street': 'Spanische Allee', 'HouseNumber': '14', 'PostalCode': '14129'}",Berlin,Nikolassee,Spanische Allee,14,14129
4016,205331,11,0,6,6,2018,9,18,5,3,2,6,0,1,1,0,0,0,0,0,13.255597559442906,52.43082889112997,"{'City': 'Berlin', 'District': 'Zehlendorf', 'Street': 'Anhaltinerstraße', 'HouseNumber': '9', 'PostalCode': '14163'}",Berlin,Zehlendorf,Anhaltinerstraße,9,14163
4017,205333,11,0,12,12,2018,9,7,4,2,1,5,0,1,0,0,0,0,1,0,13.378331722000844,52.56579069850803,"{'City': 'Berlin', 'District': 'Reinickendorf', 'Street': 'Provinzstraße', 'HouseNumber': '34', 'PostalCode': '13409'}",Berlin,Reinickendorf,Provinzstraße,34,13409
4018,205334,11,0,4,4,2018,9,10,4,3,2,7,0,1,1,0,0,0,0,0,13.319516568544591,52.49360627613895,"{'City': 'Berlin', 'District': 'Wilmersdorf', 'Street': 'Emser Straße', 'HouseNumber': '6', 'PostalCode': '10719'}",Berlin,Wilmersdorf,Emser Straße,6,10719
4019,205335,11,0,11,11,2018,9,7,4,3,1,5,0,1,1,0,0,0,0,0,13.502029162100829,52.5716223555449,"{'City': 'Berlin', 'District': 'Neu-Hohenschönhausen', 'Street': 'Wustrower Straße', 'HouseNumber': '53', 'PostalCode': '13051'}",Berlin,Neu-Hohenschönhausen,Wustrower Straße,53,13051
4020,205337,11,0,3,3,2018,9,7,4,3,5,3,0,1,0,0,0,0,0,0,13.418546859370242,52.582887056564324,"{'City': 'Berlin', 'District': 'Niederschönhausen', 'Street': 'Rolandstraße', 'HouseNumber': '', 'PostalCode': '13156'}",Berlin,Niederschönhausen,Rolandstraße,,13156
4021,205338,11,0,3,3,2018,9,16,4,3,5,3,0,1,1,0,0,0,0,0,13.378356070760335,52.576513857353355,"{'City': 'Berlin', 'District': 'Niederschönhausen', 'Street': 'Straße vor Schönholz', 'HouseNumber': '3', 'PostalCode': '13158'}",Berlin,Niederschönhausen,Straße vor Schönholz,3,13158
4022,205340,11,0,4,4,2018,9,14,4,2,5,2,0,1,0,0,1,0,0,0,13.318805083731291,52.49184125097855,"{'City': 'Berlin', 'District': 'Wilmersdorf', 'Street': 'Hohenzollerndamm', 'HouseNumber': '187', 'PostalCode': '10713'}",Berlin,Wilmersdorf,Hohenzollerndamm,187,10713
4023,205341,11,0,4,4,2018,9,9,2,3,5,3,0,1,0,0,0,0,1,0,13.272464943009155,52.53894170963862,"{'City': 'Berlin', 'District': 'Siemensstadt', 'Street': 'Jungfernheideweg', 'HouseNumber': '17', 'PostalCode': '13629'}",Berlin,Siemensstadt,Jungfernheideweg,17,13629
4024,205342,11,0,1,1,2018,9,5,5,3,5,3,2,1,1,0,0,0,0,0,13.329915904360144,52.52291422306878,"{'City': 'Berlin', 'District': 'Moabit', 'Street': 'Gotzkowskystraße', 'HouseNumber': '', 'PostalCode': '10555'}",Berlin,Moabit,Gotzkowskystraße,,10555
4025,205343,11,0,2,2,2018,9,18,2,2,1,5,1,1,1,0,0,0,0,0,13.46171122092038,52.51204766043705,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': 'Boxhagener Straße', 'HouseNumber': '98', 'PostalCode': '10245'}",Berlin,Friedrichshain,Boxhagener Straße,98,10245
4026,205344,11,0,2,2,2018,9,7,4,2,6,4,0,1,0,1,0,0,0,0,13.435906036152407,52.515234974671074,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': 'Koppenstraße', 'HouseNumber': '', 'PostalCode': '10243'}",Berlin,Friedrichshain,Koppenstraße,,10243
4027,205345,11,0,1,1,2018,9,13,4,3,7,7,0,1,0,0,0,0,0,0,13.343183577150368,52.526816628051954,"{'City': 'Berlin', 'District': 'Moabit', 'Street': 'Stromstraße', 'HouseNumber': '', 'PostalCode': '10551'}",Berlin,Moabit,Stromstraße,,10551
4028,205348,11,0,1,1,2018,9,13,4,2,1,5,0,1,1,0,0,0,0,0,13.347092243937084,52.503691975967655,"{'City': 'Berlin', 'District': 'Schöneberg', 'Street': 'Kurfürstenstraße', 'HouseNumber': '114', 'PostalCode': '10787'}",Berlin,Schöneberg,Kurfürstenstraße,114,10787
4029,205349,11,0,8,8,2018,9,11,4,3,3,6,0,1,1,0,0,0,0,0,13.432205836042613,52.48166856676733,"{'City': 'Berlin', 'District': 'Neukölln', 'Street': 'Flughafenstraße', 'HouseNumber': '13', 'PostalCode': '12053'}",Berlin,Neukölln,Flughafenstraße,13,12053
4030,205350,11,0,1,1,2018,9,9,2,3,1,5,0,1,1,0,0,0,1,0,13.394905142723008,52.52447547623037,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Oranienburger Straße', 'HouseNumber': '27', 'PostalCode': '10117'}",Berlin,Mitte,Oranienburger Straße,27,10117
4031,205351,11,0,1,1,2018,9,7,2,2,5,3,0,1,0,0,1,0,0,0,13.339086355102111,52.5438792806553,"{'City': 'Berlin', 'District': 'Wedding', 'Street': 'Seestraße', 'HouseNumber': '', 'PostalCode': '13353'}",Berlin,Wedding,Seestraße,,13353
4032,205352,11,0,1,1,2018,9,11,4,3,5,2,0,1,1,0,0,0,0,0,13.34278361497924,52.504604863039546,"{'City': 'Berlin', 'District': 'Schöneberg', 'Street': 'Kurfürstenstraße', 'HouseNumber': '', 'PostalCode': '10787'}",Berlin,Schöneberg,Kurfürstenstraße,,10787
4033,205353,11,0,9,9,2018,9,7,2,2,5,3,0,1,1,0,0,0,0,0,13.530059154545718,52.43592645718045,"{'City': 'Berlin', 'District': 'Adlershof', 'Street': 'Georg-Schendel-Straße', 'HouseNumber': '', 'PostalCode': '12489'}",Berlin,Adlershof,Georg-Schendel-Straße,,12489
4034,205354,11,0,1,1,2018,9,14,4,2,0,1,0,1,0,0,0,0,0,0,13.401728099406812,52.529152331071494,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Rosenthaler Straße', 'HouseNumber': '2', 'PostalCode': '10119'}",Berlin,Mitte,Rosenthaler Straße,2,10119
4035,205356,11,0,6,6,2018,9,11,4,3,5,3,0,1,1,0,0,0,0,0,13.331357036324347,52.44211959551113,"{'City': 'Berlin', 'District': 'Lankwitz', 'Street': 'Siemensstraße', 'HouseNumber': '', 'PostalCode': '12247'}",Berlin,Lankwitz,Siemensstraße,,12247
4036,205357,11,0,4,4,2018,9,18,2,3,5,3,1,1,1,0,0,0,0,0,13.310164695973041,52.49376498302153,"{'City': 'Berlin', 'District': 'Wilmersdorf', 'Street': 'Konstanzer Straße', 'HouseNumber': '', 'PostalCode': '10707'}",Berlin,Wilmersdorf,Konstanzer Straße,,10707
4037,205359,11,0,4,4,2018,9,9,4,3,5,3,0,1,1,0,0,0,0,0,13.319169409027305,52.49980494930169,"{'City': 'Berlin', 'District': 'Charlottenburg', 'Street': 'Bleibtreustraße', 'HouseNumber': '28', 'PostalCode': '10707'}",Berlin,Charlottenburg,Bleibtreustraße,28,10707
4038,205360,11,0,4,4,2018,9,18,4,3,5,7,0,1,1,0,0,0,0,0,13.304785874249578,52.525595146242196,"{'City': 'Berlin', 'District': 'Charlottenburg', 'Street': 'Mierendorffplatz', 'HouseNumber': '16', 'PostalCode': '10589'}",Berlin,Charlottenburg,Mierendorffplatz,16,10589
4039,205365,11,0,1,1,2018,9,9,4,3,0,1,0,1,0,0,0,0,0,0,13.409204190605118,52.52848017261169,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Alte Schönhauser Straße', 'HouseNumber': '60', 'PostalCode': '10119'}",Berlin,Mitte,Alte Schönhauser Straße,60,10119
4040,205368,11,0,1,1,2018,9,18,4,3,5,2,0,1,1,0,0,0,0,0,13.342069408964557,52.55599536346213,"{'City': 'Berlin', 'District': 'Wedding', 'Street': '', 'HouseNumber': '', 'PostalCode': '13349'}",Berlin,Wedding,,,13349
4041,205375,11,0,3,3,2018,9,17,2,3,3,6,0,1,1,0,0,0,0,0,13.431149177525105,52.53436200217785,"{'City': 'Berlin', 'District': 'Prenzlauer Berg', 'Street': 'Greifswalder Straße', 'HouseNumber': '41', 'PostalCode': '10405'}",Berlin,Prenzlauer Berg,Greifswalder Straße,41,10405
4042,205376,11,0,1,1,2018,9,8,4,3,6,4,0,1,0,1,0,0,0,0,13.403060565849122,52.527515946675514,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Rosenthaler Straße', 'HouseNumber': '13', 'PostalCode': '10119'}",Berlin,Mitte,Rosenthaler Straße,13,10119
4043,205377,11,0,8,8,2018,9,17,4,3,3,6,0,1,1,0,0,0,0,0,13.43764603984479,52.47881623818544,"{'City': 'Berlin', 'District': 'Neukölln', 'Street': 'Karl-Marx-Straße', 'HouseNumber': '108', 'PostalCode': '12043'}",Berlin,Neukölln,Karl-Marx-Straße,108,12043
4044,205379,11,0,10,10,2018,9,16,2,3,6,7,0,1,0,1,0,0,0,0,13.550485803712348,52.542459990040385,"{'City': 'Berlin', 'District': 'Marzahn', 'Street': 'Kiebitzgrund', 'HouseNumber': '2', 'PostalCode': '12685'}",Berlin,Marzahn,Kiebitzgrund,2,12685
4045,205380,11,0,1,1,2018,9,16,4,3,0,2,0,1,1,0,0,0,0,0,13.34302281233067,52.526166071758965,"{'City': 'Berlin', 'District': 'Moabit', 'Street': 'Stromstraße', 'HouseNumber': '', 'PostalCode': '10555'}",Berlin,Moabit,Stromstraße,,10555
4046,205382,11,0,10,10,2018,9,16,4,3,5,3,0,1,1,0,0,0,0,0,13.606456332376043,52.52740694365956,"{'City': 'Berlin', 'District': 'Kaulsdorf', 'Street': 'Grottkauer Straße', 'HouseNumber': '19', 'PostalCode': '12621'}",Berlin,Kaulsdorf,Grottkauer Straße,19,12621
4047,205383,11,0,6,6,2018,9,15,2,3,5,7,0,1,1,0,0,0,0,0,13.34986948642138,52.42121391519927,"{'City': 'Berlin', 'District': 'Lankwitz', 'Street': 'Tautenburger Straße', 'HouseNumber': '35A', 'PostalCode': '12249'}",Berlin,Lankwitz,Tautenburger Straße,35A,12249
4048,205384,11,0,6,6,2018,9,14,5,3,5,3,0,1,1,0,0,0,0,0,13.303815985364162,52.45876814626742,"{'City': 'Berlin', 'District': 'Dahlem', 'Street': 'Königin-Luise-Platz', 'HouseNumber': '', 'PostalCode': '14195'}",Berlin,Dahlem,Königin-Luise-Platz,,14195
